company_id;company_name;date_first_certified;date_certified;current_status;industry;industry_category;country;state;city;sector;size;website;assessment_year;overall_score;impact_area_community;impact_area_customers;impact_area_environment;impact_area_governance;impact_area_workers;certification_cycle
0013b00001p1odRAAQ;Kelly+Partners;26/10/20;26/10/20;certified;Accounting Services;Business Products & Services;Australia;New South Wales;North Sydney;Service with Minor Environmental Footprint;50-249;www.kellypartners.com.au;2019;84.1;37.3;1.6;9.1;6.8;29.1;1.0
0013b00001qFa1wAAC;NOVICA;05/11/21;05/11/21;certified;Storefront;Retail;United States;California;Santa Monica;Wholesale/Retail;50-249;www.NOVICA.com;2020;83.5;36.0;3.5;14.7;9.5;19.5;1.0
0013b00001s7MqwAAE;Ozeano Vision;03/11/21;03/11/21;certified;Apparel, Footwear & Accessories;Consumer Products & Services;Australia;New South Wales;Sydney;Wholesale/Retail;0;www.ozeanovision.com;2020;127.0;77.7;2.7;29.0;17.5;;1.0
001C0000014ykRmIAI;zafrán - Recetas honestas;26/05/20;26/05/20;certified;Food & Beverage;Consumer Products & Services;Argentina;Buenos Aires;San Martín;Manufacturing;Oct-49;www.zafran.com.ar;2019;86.9;23.6;1.7;9.5;13.2;38.6;1.0
0018000000eGk2KAAS;Peace Coffee;21/11/17;17/09/18;certified;Food & Beverage;Consumer Products & Services;United States;Minnesota;Minneapolis;Agriculture/Growers;50-249;www.peacecoffee.com;2018;100.5;46.1;0.0;23.9;11.1;19.2;1.0
0018000000eGk2KAAS;Peace Coffee;21/11/17;21/11/17;certified;Food & Beverage;Consumer Products & Services;United States;Minnesota;Minneapolis;Agriculture/Growers;Oct-49;www.peacecoffee.com;2017;110.3;54.1;0.0;22.4;16.7;17.1;2.0
001C000001dgUxzIAE;Mokulua High Performance Builder;08/01/18;05/05/21;certified;Contractors & Builders;Building;United States;Hawaii;Kailua;Service with Significant Environmental Footprint;Oct-49;www.mokuluahpb.com;2020;137.2;35.0;3.3;66.1;13.4;18.8;1.0
001C000001dgUxzIAE;Mokulua High Performance Builder;08/01/18;08/01/18;certified;Contractors & Builders;Building;United States;Hawaii;Kailua;Service with Significant Environmental Footprint;Oct-49;www.mokuluahpb.com;2017;121.7;39.2;0.0;55.3;7.3;19.9;2.0
001C000000wC9fpIAC;Mikado Consulting;26/09/12;07/01/19;certified;Nonprofit Consulting & Fundraising;Business Products & Services;Turkey;Istanbul Province;Istanbul;Service with Minor Environmental Footprint;01-Sep;www.mikadoconsulting.com;2018;93.2;22.3;25.8;9.8;7.8;27.3;1.0
001C000000wC9fpIAC;Mikado Consulting;26/09/12;02/09/15;certified;Nonprofit Consulting & Fundraising;Business Products & Services;Turkey;Istanbul Province;Istanbul;Service with Minor Environmental Footprint;01-Sep;www.mikadoconsulting.com;2014;123.8;56.2;22.8;8.9;9.7;26.2;2.0
001C000000wC9fpIAC;Mikado Consulting;26/09/12;26/09/12;certified;Nonprofit Consulting & Fundraising;Business Products & Services;Turkey;Istanbul Province;Istanbul;Service with Minor Environmental Footprint;01-Sep;www.mikadoconsulting.com;2012;127.9;27.7;60.4;4.7;5.9;29.0;3.0
0013b00001wsROyAAM;Locomote;28/02/22;28/02/22;certified;IT Software & Services/Web Design;Business Products & Services;Australia;Victoria;Melbourne;Service with Minor Environmental Footprint;01-Sep;locomote.com;2021;83.1;18.2;4.6;9.3;19.4;31.3;1.0
0013b00001p0nDpAAI;Cannings;10/03/22;10/03/22;certified;Food & Beverage;Consumer Products & Services;Australia;Victoria;Kew;Manufacturing;50-249;www.canningsbutchers.com.au;2019;85.6;30.6;2.4;18.8;14.3;19.3;1.0
0013b00001vOAG8AAO;SKOOT;20/01/22;20/01/22;certified;IT Software & Services/Web Design;Business Products & Services;United Kingdom;Surrey;London;Service with Minor Environmental Footprint;Oct-49;skoot.eco;2021;92.2;15.6;3.3;18.5;20.0;34.6;1.0
0013b00001rIhAZAA0;Impact Family Office;21/07/21;21/07/21;certified;Research & Design;Business Products & Services;United States;California;Santa Barbara;Service with Minor Environmental Footprint;01-Sep;www.impactfamilyoffice.com;2020;86.4;35.5;3.1;12.2;16.8;18.7;1.0
0013b00001s7TSmAAM;No-Where Consultants;10/06/21;10/06/21;certified;IT Software & Services/Web Design;Business Products & Services;United States;Missouri;Kansas City;Service with Minor Environmental Footprint;01-Sep;www.no-where.net;2020;82.7;27.9;6.7;5.9;16.3;25.7;1.0
0013b00001p3VU1AAM;Enroot Organics PBC;14/10/21;14/10/21;certified;Food & Beverage;Consumer Products & Services;United States;California;Los Angeles;Wholesale/Retail;01-Sep;www.drinkenroot.com;2020;101.8;32.4;2.9;25.0;16.9;24.3;1.0
0013b00001p0kNzAAI;Intuitive Digital;02/12/20;02/12/20;certified;Marketing & Communications Services;Business Products & Services;United States;Oregon;Portland;Service with Minor Environmental Footprint;Oct-49;intuitivedigital.com;2019;82.3;17.4;5.4;9.4;16.9;33.0;1.0
0013b00001o3v0sAAA;MYALMA 2019, S.L.;14/12/21;14/12/21;certified;Home & Personal Care;Consumer Products & Services;Spain;Madrid;Madrid;Wholesale/Retail;01-Sep;www.myalma.es;2021;87.6;21.8;8.4;21.3;14.5;21.3;1.0
001C000001k9dXHIAY;Las Tacuaras S.A.;11/01/19;11/01/19;certified;Other;Consumer Products & Services;Paraguay;Central Department;San Lorenzo;Manufacturing;250-999;nutrihuevos.com.py;2018;81.8;25.8;;19.1;10.1;26.7;1.0
0013b00001u87NgAAI;Shayp;18/01/22;18/01/22;certified;IT Software & Services/Web Design;Business Products & Services;Belgium;Brussels;Brussels;Service with Minor Environmental Footprint;Oct-49;www.shayp.com;2020;99.6;17.2;3.5;34.1;19.4;25.3;1.0
0013b00001p1slqAAA;Stone Creek Coffee;04/01/22;04/01/22;certified;Food & Beverage;Consumer Products & Services;United States;Wisconsin;Milwaukee;Manufacturing;50-249;www.stonecreekcoffee.com;2020;87.4;32.2;3.3;13.6;15.0;23.1;1.0
001C000001a2OxbIAE;WeNow;01/08/17;09/04/21;certified;Energy Efficiency & Consulting;Energy & Environmental Services;France;Paris;Saint-Germain-en-Laye;Service with Minor Environmental Footprint;01-Sep;www.wenow.com;2020;90.2;11.7;3.0;34.7;19.1;21.5;1.0
001C000001a2OxbIAE;WeNow;01/08/17;01/08/17;certified;Energy Efficiency & Consulting;Energy & Environmental Services;France;Paris;Saint-Germain-en-Laye;Service with Minor Environmental Footprint;01-Sep;www.wenow.com;2017;82.4;14.9;0.0;35.5;12.0;20.0;2.0
0018000000Rr4BZAAZ;Green Mountain Power;06/10/14;30/11/21;certified;Renewable Energy Generation & Installation;Energy & Environmental Services;United States;Vermont;Colchester;Service with Significant Environmental Footprint;250-999;www.greenmountainpower.com;2019;83.6;11.4;2.5;29.0;15.3;25.2;1.0
0018000000Rr4BZAAZ;Green Mountain Power;06/10/14;18/01/17;certified;Renewable Energy Generation & Installation;Energy & Environmental Services;United States;Vermont;Colchester;Service with Significant Environmental Footprint;250-999;www.greenmountainpower.com;2016;86.2;12.0;0.0;25.2;16.9;32.1;2.0
0018000000Rr4BZAAZ;Green Mountain Power;06/10/14;06/10/14;certified;Renewable Energy Generation & Installation;Energy & Environmental Services;United States;Vermont;Colchester;Service with Significant Environmental Footprint;250-999;www.greenmountainpower.com;2014;84.3;13.4;0.0;27.9;15.7;27.3;3.0
0013b00001vPKirAAG;Blackrock Consulting LLC;28/12/21;28/12/21;certified;Research & Design;Business Products & Services;United States;Missouri;St. Louis;Service with Minor Environmental Footprint;01-Sep;blackrockconsulting.org;2021;84.5;22.4;16.9;8.4;12.8;23.8;1.0
0013b00001uPNlqAAG;Exponent Beauty, INC;17/11/21;17/11/21;certified;Home & Personal Care;Consumer Products & Services;United States;California;San Francisco;Wholesale/Retail;01-Sep;exponentbeauty.com;2021;81.0;18.6;3.8;20.4;14.9;23.1;1.0
001C000001DiNUMIA3;WayCarbon;22/01/20;22/01/20;certified;Sustainability Consulting;Business Products & Services;Brazil;Minas Gerais;Belo Horizonte;Service with Minor Environmental Footprint;50-249;www.waycarbon.com;2019;83.0;14.8;17.2;8.8;15.1;26.8;1.0
0013b00001rGhSYAA0;Sail Creative;17/11/21;17/11/21;certified;Marketing & Communications Services;Business Products & Services;United Kingdom;United Kingdom;Newcastle;Service with Minor Environmental Footprint;01-Sep;www.sailcreative.co.uk;2020;84.6;17.8;17.8;6.6;15.6;26.6;1.0
001C000001iwgrIIAQ;done!;11/01/19;11/01/19;certified;Marketing & Communications Services;Business Products & Services;Argentina;Autonomous City Of Buenos Aires;Ciudad Autónoma de Buenos Aires;Service with Minor Environmental Footprint;01-Sep;www.donecomunicacion.com.ar;2018;81.3;32.9;12.2;3.1;5.3;27.6;1.0
0013b00001p49CQAAY;Fox and Hare Group Ltd;09/11/21;09/11/21;certified;Marketing & Communications Services;Business Products & Services;United Kingdom;London Borough of Hackney;London;Service with Minor Environmental Footprint;01-Sep;foxandhare.co/;2021;109.3;46.3;2.4;8.9;18.9;32.6;1.0
0013b00001qFrJoAAK;FAMA Investimentos;07/08/20;07/08/20;certified;Investment Advisor;Financial Services;Brazil;São paulo;São paulo;Service with Minor Environmental Footprint;Oct-49;www.famainvestimentos.com.br;2020;98.8;14.2;19.7;6.3;17.0;41.4;1.0
001C000001NOLanIAH;Green Drop Garage;18/08/15;24/10/18;certified;Automotive Sales & Repair;Consumer Products & Services;United States;Oregon;Portland;Service with Minor Environmental Footprint;Oct-49;greendropgarage.com;2017;80.5;17.7;0.0;15.6;15.9;31.1;1.0
