company_id;current_status;industry;industry_category;country;size;overall_score
0013b00001p1odRAAQ;certified;Accounting Services;Business Products & Services;Australia;50-249;84.1
0013b00001qFa1wAAC;certified;Storefront;Retail;United States;50-249;83.5
0013b00001s7MqwAAE;certified;Apparel  Footwear & Accessories;Consumer Products & Services;Australia;0;127.0
001C0000014ykRmIAI;certified;Food & Beverage;Consumer Products & Services;Argentina;10-49;86.9
0018000000eGk2KAAS;certified;Food & Beverage;Consumer Products & Services;United States;50-249;100.5
0018000000eGk2KAAS;certified;Food & Beverage;Consumer Products & Services;United States;10-49;110.3
001C000001dgUxzIAE;certified;Contractors & Builders;Building;United States;10-49;137.2
001C000001dgUxzIAE;certified;Contractors & Builders;Building;United States;10-49;121.7
001C000000wC9fpIAC;certified;Nonprofit Consulting & Fundraising;Business Products & Services;Turkey;01-09;93.2
001C000000wC9fpIAC;certified;Nonprofit Consulting & Fundraising;Business Products & Services;Turkey;01-09;123.8
001C000000wC9fpIAC;certified;Nonprofit Consulting & Fundraising;Business Products & Services;Turkey;01-09;127.9
0013b00001wsROyAAM;certified;IT Software & Services/Web Design;Business Products & Services;Australia;01-09;83.1
0013b00001p0nDpAAI;certified;Food & Beverage;Consumer Products & Services;Australia;50-249;85.6
0013b00001vOAG8AAO;certified;IT Software & Services/Web Design;Business Products & Services;United Kingdom;10-49;92.2
0013b00001rIhAZAA0;certified;Research & Design;Business Products & Services;United States;01-09;86.4
0013b00001s7TSmAAM;certified;IT Software & Services/Web Design;Business Products & Services;United States;01-09;82.7
0013b00001p3VU1AAM;certified;Food & Beverage;Consumer Products & Services;United States;01-09;101.8
0013b00001p0kNzAAI;certified;Marketing & Communications Services;Business Products & Services;United States;10-49;82.3
0013b00001o3v0sAAA;certified;Home & Personal Care;Consumer Products & Services;Spain;01-09;87.6
001C000001k9dXHIAY;certified;Other;Consumer Products & Services;Paraguay;250-999;81.8
0013b00001u87NgAAI;certified;IT Software & Services/Web Design;Business Products & Services;Belgium;10-49;99.6
0013b00001p1slqAAA;certified;Food & Beverage;Consumer Products & Services;United States;50-249;87.4
001C000001a2OxbIAE;certified;Energy Efficiency & Consulting;Energy & Environmental Services;France;01-09;90.2
001C000001a2OxbIAE;certified;Energy Efficiency & Consulting;Energy & Environmental Services;France;01-09;82.4
0018000000Rr4BZAAZ;certified;Renewable Energy Generation & Installation;Energy & Environmental Services;United States;250-999;83.6
